Agency,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
@BBCnews,0.5994,Sun Nov 05 18:51:18 +0000 2017,0.09,0.621,0.29,RT @BBCNews: Paradise Papers: Tax haven secrets of ultra-rich exposed https://t.co/0P5jsNGLGv,1
@BBCnews,0.8176,Sun Nov 05 18:51:04 +0000 2017,0.0,0.605,0.395,UK's Lord Ashcroft stayed a non-dom https://t.co/uooW7R6BeE via @BBCNews another interesting link.. #Westminster - getting better and better,2
@BBCnews,-0.7003,Sun Nov 05 18:51:03 +0000 2017,0.298,0.702,0.0,"@Ross__Mackenzie @hhurleylol @BBCNews ""No evidence that she's not paying tax."" There's literally no evidence that she's avoiding any tax.",3
@BBCnews,0.0,Sun Nov 05 18:50:58 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",4
@BBCnews,0.0,Sun Nov 05 18:50:54 +0000 2017,0.0,1.0,0.0,"RT @evertonfc2: Lord Ashcroft -The story of the Tory Donor who has dodged £127 million in tax
 https://t.co/A93DGxwnqb @BBCNews #bbcsp #Mar…",5
@BBCnews,-0.5423,Sun Nov 05 18:50:54 +0000 2017,0.257,0.743,0.0,@RhodesWriter @Ekklesia_co_uk @ianbirrell @BBCNews @c_of_e @JustinWelby no response from @JustinWelby on the lack o… https://t.co/smuMDUtZVu,6
@BBCnews,0.5994,Sun Nov 05 18:50:52 +0000 2017,0.09,0.621,0.29,RT @BBCNews: Paradise Papers: Tax haven secrets of ultra-rich exposed https://t.co/0P5jsNGLGv,7
@BBCnews,0.4939,Sun Nov 05 18:50:49 +0000 2017,0.0,0.849,0.151,@kevinmitchell50 @BBCNews The point is that closing tax loopholes requires international agreement - Cameron and Osborne done a lot on this,8
@BBCnews,-0.7003,Sun Nov 05 18:50:48 +0000 2017,0.309,0.691,0.0,@MarrShow @BBCNews @DawnButlerBrent You shouldn't have any sexual predators or uncontrolled perverts working there.… https://t.co/Fqh9C7l5Uf,9
@BBCnews,0.2235,Sun Nov 05 18:50:43 +0000 2017,0.0,0.914,0.086,@BBCNews If the BBC doesn't stop this sort of blatantly ideological reporting the next Conservative government (~ 2030) will privatise it.,10
@BBCnews,-0.1027,Sun Nov 05 18:50:43 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,11
@BBCnews,-0.7342,Sun Nov 05 18:50:29 +0000 2017,0.323,0.677,0.0,@modbet_UK @BBCNews Making insulting asumptions based on nothing? Hmm very clever. Gold star for you!,12
@BBCnews,-0.1027,Sun Nov 05 18:50:24 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,13
@BBCnews,-0.34,Sun Nov 05 18:50:17 +0000 2017,0.324,0.676,0.0,Background to the leak https://t.co/iYSpzMpljt @BBCNewsから,14
@BBCnews,-0.34,Sun Nov 05 18:50:13 +0000 2017,0.286,0.714,0.0,Background to the leak https://t.co/4cjY2NFdU7 via @BBCNews,15
@BBCnews,0.3109,Sun Nov 05 18:50:11 +0000 2017,0.133,0.664,0.203,US Commerce Secretary has to resign in light of this. Surely! https://t.co/iQBcu1dHQx via @BBCNews,16
@BBCnews,0.4215,Sun Nov 05 18:50:11 +0000 2017,0.0,0.882,0.118,@BBCNews My son can’t get broadband where he lives ...I live approx 3 miles away and get 76mps download speed . Lucky me eh,17
@BBCnews,0.4019,Sun Nov 05 18:50:07 +0000 2017,0.142,0.594,0.265,@BBCNews Too much paid tax paid by middle class . Rich are ok &amp; poor looked after .,18
@BBCnews,0.0,Sun Nov 05 18:49:55 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",19
@BBCnews,-0.1027,Sun Nov 05 18:49:47 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,20
@BBCnews,0.0,Sun Nov 05 18:49:45 +0000 2017,0.0,1.0,0.0,@PrisonPlanet @BBCNews sources say you're a pedophile ?,21
@BBCnews,-0.1027,Sun Nov 05 18:49:42 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,22
@BBCnews,0.0,Sun Nov 05 18:49:40 +0000 2017,0.0,1.0,0.0,"RT @Hughesy53: Blimey - it’s all kicking off!
#Panorama
#TorySleaze36 
#ParadisePapers 
#TrumpDossier 
@BBCNews @Channel4News @itvnews http…",23
